City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,upernavik,72.79,-56.15,40.86,77,0,2.37,GL,1592676488
88,butaritari,3.07,172.79,82.87,75,94,9.66,KI,1592676495
89,dingle,11.0,122.67,78.51,76,7,4.5,PH,1592676705
90,hilo,19.73,-155.09,75.0,68,1,8.05,US,1592676668
91,gueugnon,46.6,4.06,73.4,40,59,5.82,FR,1592676705
92,loa janan,-0.58,117.09,73.38,97,64,1.68,ID,1592676636
93,faanui,-16.48,-151.75,79.65,79,98,9.1,PF,1592676705
94,bengkulu,-3.8,102.27,76.21,89,84,4.68,ID,1592676705
95,ahipara,-35.17,173.17,53.13,85,71,5.37,NZ,1592676705
96,caravelas,-17.71,-39.25,78.37,61,57,5.28,BR,1592676706
97,codrington,-38.27,141.97,45.52,91,100,6.4,AU,1592676706
98,la ronge,55.1,-105.28,51.8,66,75,5.82,CA,1592676706
99,tres arroyos,-38.37,-60.28,56.16,48,100,5.5,AR,1592676706
100,avarua,-21.21,-159.78,71.6,64,94,4.7,CK,1592676706
101,jacareacanga,-6.22,-57.75,93.2,38,6,4.29,BR,1592676706
102,storm lake,42.64,-95.21,72.0,64,100,4.7,US,1592676706
103,shu,43.6,73.76,62.96,28,0,11.3,KZ,1592676706
104,kumluca,36.37,30.29,79.14,47,0,2.95,TR,1592676706
105,warrington,53.39,-2.58,70.0,60,20,13.87,GB,1592676707
106,polunochnoye,60.87,60.42,44.19,70,26,8.08,RU,1592676707
107,kichera,55.94,110.1,54.21,61,1,2.95,RU,1592676707
108,tadine,-21.55,167.88,67.55,81,18,14.94,NC,1592676707
109,makat,47.65,53.35,88.05,18,58,14.16,KZ,1592676708
110,progreso,21.28,-89.67,91.0,66,75,6.93,MX,1592676708
111,half moon bay,37.46,-122.43,70.0,77,75,5.82,US,1592676447
112,cabinda,-5.55,12.2,75.0,85,1,7.07,AO,1592676708
113,namibe,-15.2,12.15,73.78,54,0,10.56,AO,1592676708
114,viedma,-40.81,-63.0,50.7,77,100,12.1,AR,1592676708
115,beira,-19.84,34.84,66.2,88,0,2.24,MZ,1592676708
116,gunjur,13.2,-16.73,82.36,79,26,13.33,GM,1592676708
117,nome,64.5,-165.41,64.4,45,1,17.22,US,1592676709
118,ust-nera,64.57,143.2,64.2,54,29,3.33,RU,1592676709
119,mitsamiouli,-11.38,43.28,75.78,85,100,14.79,KM,1592676709
120,pangnirtung,66.15,-65.71,37.4,93,20,11.41,CA,1592676709
121,chuy,-33.7,-53.46,60.71,77,59,4.63,UY,1592676709
122,akcakoca,41.09,31.12,69.42,72,12,2.42,TR,1592676710
123,cap malheureux,-19.98,57.61,73.0,71,26,8.99,MU,1592676710
124,jojoima,7.88,-10.79,78.26,89,51,4.05,SL,1592676710
125,nouakchott,18.09,-15.98,82.4,74,0,11.41,MR,1592676504
126,arlit,18.74,7.39,105.01,6,0,7.49,NE,1592676710
127,omsukchan,62.53,155.8,56.97,61,0,4.36,RU,1592676710
128,bluff,-46.6,168.33,39.0,83,38,3.0,NZ,1592676710
129,wladyslawowo,54.79,18.4,71.01,83,20,6.93,PL,1592676711
130,nikolskoye,59.7,30.79,64.4,48,64,11.18,RU,1592676517
131,bilibino,68.05,166.44,72.43,39,68,2.64,RU,1592676711
132,liku,-0.73,119.89,74.44,85,60,2.04,ID,1592676711
133,mecca,21.43,39.83,87.24,29,37,7.47,SA,1592676711
134,makakilo city,21.35,-158.09,75.2,83,90,3.36,US,1592676711
135,hofn,64.25,-15.21,51.01,94,100,6.24,IS,1592676712
136,khani,41.96,42.96,68.0,77,75,10.29,GE,1592676712
137,payakumbuh,-0.22,100.63,70.77,88,76,2.48,ID,1592676712
138,flinders,-34.58,150.86,59.0,81,75,5.01,AU,1592676712
139,kabompo,-13.59,24.2,58.84,43,0,2.98,ZM,1592676712
140,glendive,47.11,-104.71,73.99,46,1,5.82,US,1592676509
141,iqaluit,63.75,-68.51,41.0,80,75,6.93,CA,1592676712
142,svetlaya,46.54,138.33,46.6,86,86,1.95,RU,1592676712
143,san patricio,19.22,-104.7,86.0,74,75,6.93,MX,1592676713
144,antofagasta,-23.65,-70.4,64.4,59,20,4.7,CL,1592676519
145,komsomolskiy,40.43,71.72,77.0,33,0,6.93,UZ,1592676713
146,ostrovnoy,68.05,39.51,43.77,75,100,14.16,RU,1592676713
147,besenyotelek,47.7,20.43,66.2,77,20,6.93,HU,1592676713
148,leningradskiy,69.38,178.42,46.63,61,43,5.73,RU,1592676508
149,okha,53.57,142.95,40.64,96,100,9.84,RU,1592676713
